Product name,Description,Slug,SKU,Auto Generate SKU,Categories,Status,Is featured?,Brand,Product collections,Labels,Taxes,Images,Price,Product attributes,Import type,Is variation default?,Stock status,With storehouse management,Quantity,Allow checkout when out of stock,Sale price,Start date sale price,End date sale price,Weight,Length,Wide,Height,Cost per item,Barcode,Content,Tags,Vendor
Dug Dug Canvas Bags and Saddle Stay Set for Royal Enfield Super Meteor 650 – Khaki,"Dug Dug Canvas Bags and Saddle Stay Set for Royal Enfield Super Meteor 650 – Khaki
Dug Dug Canvas Bag Saddle Stay Set for Royal Enfield Super Meteor 650 rests comfortably on its dedicated mounting rail, available separately. The water-resistant waxed canvas bag is heavy duty but easy to mount and remove with the quick release straps. Dug Dug Canvas bags are premium range of bags with affordable price. These are suitable for long and short trips, daily office routine or essential daily items for everyday use. Dug Dug Canvas Bags are made from Premium Quality Highly Durable Pure Canvas Fabric. These bags are Pure Canvas from outside and fully waterproof. The size of these bags gets doubled as it has same size additional fabric inside which can be pulled out. High Quality clamps and buckles used while crafting this bag.
 
Check Video:

 




Weight
6.0 kg",-,DUGDUG-1608,-,-,-,-,CANVAS,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/07/dug-dug-royal-enfield-canvas-bag-saddle-stay-for-royal-enfield-super-meteor-650-4-510x510.jpg'],"₹7,000.00",-,-,-,-,-,-,-,"₹4,600.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Canvas Bags and Saddle Stay Set for Royal Enfield Super Meteor 650 – Black,"Dug Dug Canvas Bags and Saddle Stay Set for Royal Enfield Super Meteor 650 – Black
Dug Dug Canvas Bag Saddle Stay Set for Royal Enfield Super Meteor 650 rests comfortably on its dedicated mounting rail, available separately. The water-resistant waxed canvas bag is heavy duty but easy to mount and remove with the quick release straps. Dug Dug Canvas bags are premium range of bags with affordable price. These are suitable for long and short trips, daily office routine or essential daily items for everyday use. Dug Dug Canvas Bags are made from Premium Quality Highly Durable Pure Canvas Fabric. These bags are Pure Canvas from outside and fully waterproof. The size of these bags gets doubled as it has same size additional fabric inside which can be pulled out. High Quality clamps and buckles used while crafting this bag.
 
Check Video:

 




Weight
6.0 kg",-,DUGDUG-1607,-,-,-,-,CANVAS,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/07/dug-dug-royal-enfield-canvas-bag-saddle-stay-for-royal-enfield-super-meteor-650-1-510x510.jpg'],"₹7,000.00",-,-,-,-,-,-,-,"₹4,600.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Canvas Bags and Saddle Stay Set for Royal Enfield Super Meteor 650 – Army Green,"Dug Dug Canvas Bags and Saddle Stay Set for Royal Enfield Super Meteor 650 – Army Green
Dug Dug Canvas Bag Saddle Stay Set for Royal Enfield Super Meteor 650 rests comfortably on its dedicated mounting rail, available separately. The water-resistant waxed canvas bag is heavy duty but easy to mount and remove with the quick release straps. Dug Dug Canvas bags are premium range of bags with affordable price. These are suitable for long and short trips, daily office routine or essential daily items for everyday use. Dug Dug Canvas Bags are made from Premium Quality Highly Durable Pure Canvas Fabric. These bags are Pure Canvas from outside and fully waterproof. The size of these bags gets doubled as it has same size additional fabric inside which can be pulled out. High Quality clamps and buckles used while crafting this bag.
 
Check Video:

 




Weight
6.0 kg",-,DUGDUG-1606,-,-,-,-,CANVAS,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/07/dug-dug-royal-enfield-canvas-bag-saddle-stay-for-royal-enfield-super-meteor-650-3-510x510.jpg'],"₹7,000.00",-,-,-,-,-,-,-,"₹4,600.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Canvas Bags and Saddle Stay Set for Royal Enfield Super Meteor 650 – Dark Khaki,"Dug Dug Canvas Bags and Saddle Stay Set for Royal Enfield Super Meteor 650 – Dark Khaki
Dug Dug Canvas Bag Saddle Stay Set for Royal Enfield Super Meteor 650 rests comfortably on its dedicated mounting rail, available separately. The water-resistant waxed canvas bag is heavy duty but easy to mount and remove with the quick release straps. Dug Dug Canvas bags are premium range of bags with affordable price. These are suitable for long and short trips, daily office routine or essential daily items for everyday use. Dug Dug Canvas Bags are made from Premium Quality Highly Durable Pure Canvas Fabric. These bags are Pure Canvas from outside and fully waterproof. The size of these bags gets doubled as it has same size additional fabric inside which can be pulled out. High Quality clamps and buckles used while crafting this bag.
 
Check Video:

 




Weight
6.0 kg",-,DUGDUG-1605,-,-,-,-,CANVAS,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/07/dug-dug-royal-enfield-canvas-bag-saddle-stay-for-royal-enfield-super-meteor-650-2-510x510.jpg'],"₹7,000.00",-,-,-,-,-,-,-,"₹4,600.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Meteor 350 – Dark Khaki,"Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Meteor 350
Dug Dug Canvas Bag Saddle Stay Set for Royal Enfield Meteor 350 rests comfortably on its dedicated mounting rail, available separately. The water-resistant waxed canvas bag is heavy duty but easy to mount and remove with the quick release straps. Dug Dug Canvas bags are premium range of bags with affordable price. These are suitable for long and short trips, daily office routine or essential daily items for everyday use. Dug Dug Canvas Bags are made from Premium Quality Highly Durable Pure Canvas Fabric. These bags are Pure Canvas from outside and fully waterproof. The size of these bags gets doubled as it has same size additional fabric inside which can be pulled out. High Quality clamps and buckles used while crafting this bag.
 
Check Video:

 




Weight
6.0 kg",-,DUGDUG-1557,-,-,-,-,CANVAS,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/dug-dug-royal-enfield-canvas-bag-for-royal-enfield-meteor-350-2-510x510.jpg'],"₹7,000.00",-,-,-,-,-,-,-,"₹4,500.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Meteor 350 – Khaki,"Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Meteor 350
Dug Dug Canvas Bag Saddle Stay Set for Royal Enfield Meteor 350 rests comfortably on its dedicated mounting rail, available separately. The water-resistant waxed canvas bag is heavy duty but easy to mount and remove with the quick release straps. Dug Dug Canvas bags are premium range of bags with affordable price. These are suitable for long and short trips, daily office routine or essential daily items for everyday use. Dug Dug Canvas Bags are made from Premium Quality Highly Durable Pure Canvas Fabric. These bags are Pure Canvas from outside and fully waterproof. The size of these bags gets doubled as it has same size additional fabric inside which can be pulled out. High Quality clamps and buckles used while crafting this bag.
 
Check Video:

 




Weight
6.0 kg",-,DUGDUG-1556,-,-,-,-,CANVAS,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/dug-dug-royal-enfield-canvas-bag-for-royal-enfield-meteor-350-4-510x510.jpg'],"₹7,000.00",-,-,-,-,-,-,-,"₹4,500.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Meteor 350 – Army Green,"Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Meteor 350
Dug Dug Canvas Bag Saddle Stay Set for Royal Enfield Meteor 350 rests comfortably on its dedicated mounting rail, available separately. The water-resistant waxed canvas bag is heavy duty but easy to mount and remove with the quick release straps. Dug Dug Canvas bags are premium range of bags with affordable price. These are suitable for long and short trips, daily office routine or essential daily items for everyday use. Dug Dug Canvas Bags are made from Premium Quality Highly Durable Pure Canvas Fabric. These bags are Pure Canvas from outside and fully waterproof. The size of these bags gets doubled as it has same size additional fabric inside which can be pulled out. High Quality clamps and buckles used while crafting this bag.
 
Check Video:

 




Weight
6.0 kg",-,DUGDUG-1555,-,-,-,-,CANVAS,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/dug-dug-royal-enfield-canvas-bag-for-royal-enfield-meteor-350-3-510x510.jpg'],"₹7,000.00",-,-,-,-,-,-,-,"₹4,500.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Meteor 350 – Black,"Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Meteor 350
Dug Dug Canvas Bag Saddle Stay Set for Royal Enfield Meteor 350 rests comfortably on its dedicated mounting rail, available separately. The water-resistant waxed canvas bag is heavy duty but easy to mount and remove with the quick release straps. Dug Dug Canvas bags are premium range of bags with affordable price. These are suitable for long and short trips, daily office routine or essential daily items for everyday use. Dug Dug Canvas Bags are made from Premium Quality Highly Durable Pure Canvas Fabric. These bags are Pure Canvas from outside and fully waterproof. The size of these bags gets doubled as it has same size additional fabric inside which can be pulled out. High Quality clamps and buckles used while crafting this bag.
 
Check Video:

 




Weight
6.0 kg",-,DUGDUG-1554,-,-,-,-,CANVAS,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/dug-dug-royal-enfield-canvas-bag-for-royal-enfield-meteor-350-1-510x510.jpg'],"₹7,000.00",-,-,-,-,-,-,-,"₹4,500.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Classic Reborn – Dark Khaki,"Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Classic Reborn
Dug Dug Canvas Bag Saddle Stay Set for Royal Enfield Classic Reborn rests comfortably on its dedicated mounting rail, available separately. The water-resistant waxed canvas bag is heavy duty but easy to mount and remove with the quick release straps. Dug Dug Canvas bags are premium range of bags with affordable price. These are suitable for long and short trips, daily office routine or essential daily items for everyday use. Dug Dug Canvas Bags are made from Premium Quality Highly Durable Pure Canvas Fabric. These bags are Pure Canvas from outside and fully waterproof. The size of these bags gets doubled as it has same size additional fabric inside which can be pulled out. High Quality clamps and buckles used while crafting this bag.
 
Check Video:

 




Weight
6.0 kg",-,DUGDUG-1553,-,-,-,-,CANVAS,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/dug-dug-royal-enfield-canvas-bag-for-royal-enfield-classic-reborn-3-510x510.jpg'],"₹7,000.00",-,-,-,-,-,-,-,"₹4,500.00",-,-,-,-,-,-,-,-,-,-,-
Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Classic Reborn – Khaki,"Dug Dug Canvas Bags Saddle Stay Set for Royal Enfield Classic Reborn
Dug Dug Canvas Bag Saddle Stay Set for Royal Enfield Classic Reborn rests comfortably on its dedicated mounting rail, available separately. The water-resistant waxed canvas bag is heavy duty but easy to mount and remove with the quick release straps. Dug Dug Canvas bags are premium range of bags with affordable price. These are suitable for long and short trips, daily office routine or essential daily items for everyday use. Dug Dug Canvas Bags are made from Premium Quality Highly Durable Pure Canvas Fabric. These bags are Pure Canvas from outside and fully waterproof. The size of these bags gets doubled as it has same size additional fabric inside which can be pulled out. High Quality clamps and buckles used while crafting this bag.
 
Check Video:

 




Weight
6.0 kg",-,DUGDUG-1552,-,-,-,-,CANVAS,-,-,-,['https://www.dugdugmotorcycles.com/wp-content/uploads/2023/03/dug-dug-royal-enfield-canvas-bag-for-royal-enfield-classic-reborn-1-510x510.jpg'],"₹7,000.00",-,-,-,-,-,-,-,"₹4,500.00",-,-,-,-,-,-,-,-,-,-,-
